127.0.0.1 - - [17/Jun/2022:21:43:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 14459
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/article.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/floating.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:10 +0900] "GET /test/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/26.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/mainImage/27.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/logo.png HTTP/1.1" 200 18008
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/js/jquery.scrollTo.min.js HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:11 +0900] "GET /test/images/favicon.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:12 +0900] "GET /test/login.html HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/loginAction.jsp?ID=gildong%40gmail.com&PASSWORD=1111 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 15114
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/images/mainImage/26.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:14 +0900] "GET /test/images/mainImage/27.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:16 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:16 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:16 +0900] "GET /test/css/myinfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:43:16 +0900] "GET /test/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 15114
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/images/mainImage/27.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:32 +0900] "GET /test/images/mainImage/26.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:33 +0900] "GET /test/posting.jsp HTTP/1.1" 200 6699
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:45:33 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
